Block,alpha,target_feature,phi_color,phi_shape,a,r,cf_shape,cf_color,rpe,bandit_combo,displayed_stim,rep
5,0.686501914,blue,0.761566423,0.238433577,2,0,oval,orange,-0.627053908,7,"[0, 5, 7]",1
5,0.686501914,blue,0.761566423,0.238433577,0,0,square,yellow,-0.139764188,11,"[2, 4, 6]",1
5,0.686501914,blue,0.761566423,0.238433577,2,0,circle,orange,-0.407329835,17,"[2, 4, 6]",1
5,0.686501914,blue,0.761566423,0.238433577,1,0,square,blue,-0.109185088,15,"[1, 5, 6]",1
5,0.686501914,blue,0.761566423,0.238433577,2,0,circle,orange,-0.22925022,9,"[1, 5, 6]",1
5,0.686501914,blue,0.761566423,0.238433577,0,0,oval,yellow,-0.003446239,14,"[1, 3, 8]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,circle,orange,0.8333333,3,"[1, 5, 6]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,oval,orange,0.501533542,16,"[2, 3, 7]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,circle,orange,0.269319731,11,"[2, 4, 6]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,square,orange,0.194610814,14,"[1, 3, 8]",1
6,0.686501914,orange,0.761566423,0.238433577,2,0,square,orange,-0.89047065,0,"[0, 4, 8]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,circle,orange,0.428639805,5,"[2, 4, 6]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,oval,orange,0.281433205,7,"[0, 5, 7]",1
6,0.686501914,orange,0.761566423,0.238433577,2,0,oval,orange,-0.841605945,13,"[0, 5, 7]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,square,orange,0.551203329,12,"[0, 4, 8]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,square,orange,0.310223985,6,"[0, 4, 8]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,oval,orange,0.183348202,1,"[0, 5, 7]",1
6,0.686501914,orange,0.761566423,0.238433577,2,0,circle,orange,-0.951705575,15,"[1, 5, 6]",1
6,0.686501914,orange,0.761566423,0.238433577,2,0,square,orange,-0.51947318,8,"[1, 3, 8]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,square,orange,0.707634131,2,"[1, 3, 8]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,oval,orange,0.407203333,4,"[2, 3, 7]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,circle,orange,0.227318365,9,"[1, 5, 6]",1
6,0.686501914,orange,0.761566423,0.238433577,2,1,circle,orange,0.12793756,17,"[2, 4, 6]",1
6,0.686501914,orange,0.761566423,0.238433577,2,0,oval,orange,-0.912269579,10,"[2, 3, 7]",1
